epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,531.979,0.56158,0.36633,0.96307,0.90198,0.96838,0.98378,0.80434,0.72303,0.41321,1.04743,0.000462259,0.000462259,0.000462259
75,538.542,0.55384,0.36004,0.95191,0.96324,0.99107,0.98953,0.81946,0.70682,0.37222,1.04386,0.000445756,0.000445756,0.000445756
76,545.094,0.54712,0.34906,0.95428,0.97525,0.98364,0.98989,0.81972,0.69984,0.36417,1.04156,0.000429253,0.000429253,0.000429253
77,551.656,0.53703,0.34649,0.94741,0.95586,0.98189,0.9782,0.80019,0.74254,0.36457,1.08199,0.000412749,0.000412749,0.000412749
78,558.208,0.55248,0.35894,0.95688,0.97573,0.99541,0.98839,0.83469,0.66212,0.33775,1.01752,0.000396246,0.000396246,0.000396246
79,564.806,0.54541,0.35397,0.95813,0.96963,0.99083,0.98672,0.81749,0.69138,0.32866,1.03777,0.000379743,0.000379743,0.000379743
80,571.381,0.53155,0.34852,0.94103,0.97444,0.99359,0.99027,0.8293,0.67939,0.33948,1.02122,0.000363239,0.000363239,0.000363239
81,577.996,0.54927,0.35303,0.94713,0.98403,0.99868,0.99204,0.82685,0.69583,0.32598,1.04195,0.000346736,0.000346736,0.000346736
82,584.584,0.53535,0.3431,0.94713,0.94353,0.98084,0.98508,0.83234,0.66756,0.32488,1.03019,0.000330233,0.000330233,0.000330233
83,591.236,0.52583,0.34347,0.94191,0.96481,0.98483,0.98377,0.83187,0.71425,0.33585,1.04326,0.000313729,0.000313729,0.000313729
84,597.823,0.52507,0.33355,0.94445,0.96741,0.97751,0.98533,0.82339,0.69463,0.34383,1.03119,0.000297226,0.000297226,0.000297226
85,604.393,0.54514,0.3489,0.94999,0.97787,0.99107,0.98965,0.83493,0.66568,0.32922,1.02602,0.000280723,0.000280723,0.000280723
86,610.985,0.53058,0.34315,0.94853,0.9681,0.97889,0.98359,0.8306,0.66254,0.33229,1.02091,0.00026422,0.00026422,0.00026422
87,617.554,0.52771,0.33683,0.95045,0.96938,0.97841,0.98465,0.81415,0.70539,0.34055,1.04467,0.000247716,0.000247716,0.000247716
88,624.173,0.52096,0.33341,0.93995,0.97726,0.99481,0.98784,0.82881,0.64982,0.31268,1.01639,0.000231213,0.000231213,0.000231213
89,630.724,0.51638,0.33217,0.94064,0.98207,0.99223,0.9896,0.83427,0.66924,0.32908,1.01989,0.00021471,0.00021471,0.00021471
90,637.328,0.51015,0.32577,0.94186,0.96281,0.98058,0.97981,0.82434,0.68204,0.3362,1.03726,0.000198206,0.000198206,0.000198206
91,645.402,0.41521,0.24204,0.86799,0.97447,0.98696,0.98189,0.8427,0.63838,0.31284,1.01562,0.000181703,0.000181703,0.000181703
92,651.976,0.42177,0.23668,0.86653,0.96562,0.9913,0.98081,0.83599,0.64891,0.32224,1.01345,0.0001652,0.0001652,0.0001652
93,658.447,0.42241,0.23711,0.86696,0.97392,0.99433,0.98811,0.84294,0.63682,0.31578,1.00711,0.000148696,0.000148696,0.000148696
94,665.012,0.41428,0.23937,0.87041,0.97091,0.98929,0.98727,0.83531,0.66251,0.3278,1.00838,0.000132193,0.000132193,0.000132193
95,671.525,0.41441,0.23534,0.87309,0.97262,0.99176,0.98977,0.83405,0.66925,0.32493,1.01423,0.00011569,0.00011569,0.00011569
96,678.082,0.40798,0.23085,0.86256,0.97765,0.99311,0.99054,0.8424,0.64906,0.32017,1.00532,9.91865e-05,9.91865e-05,9.91865e-05
97,684.652,0.40364,0.22869,0.8611,0.96887,0.99409,0.98921,0.83674,0.64477,0.31339,1.00272,8.26832e-05,8.26832e-05,8.26832e-05
98,691.219,0.39771,0.22221,0.86211,0.96749,0.98949,0.98875,0.84327,0.63787,0.30844,0.99869,6.61799e-05,6.61799e-05,6.61799e-05
99,697.803,0.39121,0.22094,0.86035,0.97657,0.97843,0.98891,0.84395,0.63619,0.31287,0.99722,4.96766e-05,4.96766e-05,4.96766e-05
100,704.397,0.39347,0.21995,0.86177,0.97557,0.97903,0.9889,0.84254,0.64027,0.31097,1.00125,3.31733e-05,3.31733e-05,3.31733e-05
